post_id,brand,title,content,created_at,sentiment,pain_points,highlights
1,綠藤生機,純粹保濕精華液,好用！ 用了很滿意 所以就再回購囉  以上為2024.02.13更新 —————————————  逛台茂購物中心時 剛好女鵝說她缺保濕精華 而且她又是敏乾肌 晃了台茂一樓一圈後 「綠藤生機」專櫃好像一直在向我們招手🙋一般 我們倆不知不覺的就走進了專櫃  話說綠藤生機專櫃的擺設真是讓人感覺好舒服😌就是,,正面,,保濕有感
2,綠藤生機,純粹保濕精華液,滿支持綠藤的永續+環保理念，一半以上的產品我都買過 但幾乎都覺得…不是很好用😅😅 這瓶是唯一回購3次+想推薦的哈哈(該哭還該笑XD?)成分很單純，僅有12種~ 用起來很安心 想給肌膚休息，或是擦高濃度A醇隔天想純粹保濕時就會單擦他  ✅大分子+滲透性佳的小分子玻尿酸💧 為肌膚補水的同時防止散失水分，達,,正面,,"輕盈好吸收, 保濕有感, 溫和不刺激"
3,綠藤生機,純粹保濕精華液,這已經是我買的第2瓶了，因為很喜歡品牌對於成分的理念所以當初才買來試， 好吸收不會黏黏的，通常都會搭配O2一起用~ 用在臉的份量大約是W2按壓一下+O2一滴，冬天的時候O2兩滴 之前有一些討論風聲原本有考慮換掉，但還沒找到合適的XD,,正面,,輕盈好吸收
4,綠藤生機,純粹保濕精華液,使用商品：Greenvines 綠藤生機 純粹保濕精華液 使用瓶數：1瓶 使用後回購率：70%  ==================================================================== 這是朋友送的 產品敘述(擷取自@cosme): 天然佔比：100%,,非評論,,
5,綠藤生機,純粹保濕精華液,這一瓶綠藤生機的純粹保濕精華液是參加某個活動所得到的禮物，從品牌名稱大概就可以知道這個牌子主打的重點是綠色、天然，所以很自然地他的產品沒有什麼香味，但也沒有什麼一般訴求環保產品的那一種不太好聞的味道。這款精華液跟其他的品牌精華類似，精華液本身的質地是透明無色的液體，按壓一次出來的量大概就可以塗抹全臉，,,中性,,
6,綠藤生機,純粹保濕精華液,"之前用過幾款綠藤生機的產品,因為印象還不錯 所以看到這款精華液,之前有在做組合特價時 就買了兩組~XP目前開封第一瓶,已經用了一半左右 所以先來分享一下心得吧~ 焦距有點沒對好~XP 不過第一個,應該可以先看到這瓶精華液是按壓式的 所以也還滿能掌握自己要使用的量 我大概按壓個1~1.5次壓頭的量,就很",,中性,,
7,綠藤生機,純粹保濕精華液,綠藤生機換了新包裝後， 整體質感大幅提升～👏 這是一瓶專注於保濕、僅有12種成分的精華液。 30ml  按壓瓶，使用方便 用到最後要轉開倒出來 剩下剛好可以再用一次 透明無色，流動性高 含有玻尿酸成分 會稠稠的  成分很天然 用起來很安心 溫和不刺激  帶有玫瑰等淡淡的草本香氛 延展性高 需要稍加按摩,,正面,,"輕盈好吸收,溫和不刺激,香味宜人,保濕有感"
8,綠藤生機,純粹保濕精華液,這瓶是去年周年慶跟奧圖玫瑰奇蹟辣木油一起的組合 我自己非常喜歡奧圖玫瑰奇蹟辣木油！ 但目前都沒有看到可以再購買的地方QQ   純粹保濕精華液訴求的就是以最單純的成分為肌膚帶來最大的保濕力 顏色是全透明的 質地是帶有點潤澤度的精華液 但不至於到很濃稠  輕輕一推就呈現如手上的狀態是很好送進肌膚的 接著就,,正面,,"輕盈好吸收, 保濕有感"
9,綠藤生機,純粹保濕精華液,如其名，純粹的保濕，放到臉上吸收速度比較沒有這麼快。 這瓶適合不喜歡塗塗抹抹太多，或油光煥發型的人。 專櫃來說價格算入門等級，可以使用1-3個月（依個人使用情況而有所不同），CP值算高。  有回購2次的紀錄，但目前已停止服役， 使用A酸前，擦這瓶剛剛好； 但使用A酸後，保濕度就略顯不足了，直接進階到「,,中性,吸收差;效果無感,輕盈好吸收;保濕有感;CP值高
10,綠藤生機,純粹保濕精華液,已經用掉半瓶，剛上臉會黏黏，但很快就吸收下去 商品對我來說有點貴，會挑特賣的時候購入😎  原本都只有用化妝水的我，被做臉的老師推薦這罐。 一直以為臉摸起來粗粗的是因為沒有去角質，結果盡然是保濕做不夠.... 目前用起來有感受到改善，會持續使用看看....,,正面,價格偏高,"輕盈好吸收,保濕有感"
