post_id,brand,title,content,created_at,sentiment,pain_points,highlights
1,DR.WU,玻尿酸保濕精華化妝水,。購買契機：逛屈臣氏時逛到DR.WU櫃前，看到之前朋友推薦的他們家的防曬，本來想研究要買防曬，結果看到廣告板上的這款化妝水，加上剛好當時有店內優惠，所以就放下防曬改成研究化妝水XDDD 屈臣氏有試用品，一開始還想說 天呀這質地有夠黏稠，會悶吧! 結果我去逛了一圈後發現蠻保濕的，就買了一大一小。 。質地,,正面,質地黏膩,保濕有感
2,DR.WU,玻尿酸保濕精華化妝水,初次體驗被驚艷的保水力！用過回不去的有感化妝水 ！追求水油平衡的弱敏肌必須來一罐！--- 每一家化妝水都標榜「高保濕」，但真正符合自己膚質的回購標準的又有幾家？  自從做雷射醫美令皮膚變薄，變得容易過敏後，好多一線護膚品牌都會過敏，原因是因為它們產品都有添加會令我過敏的香精或酒精成份。曾經有段時間只能,,正面,,"保濕有感,溫和不刺激"
3,DR.WU,玻尿酸保濕精華化妝水,這瓶是女鵝推薦的 剛好看到momo網站有特價組合 手指頭就不聽使喚 很快就滑下去了😄  女鵝還特別交代 不可以買清爽型 要買深藍色的款式  這次一共買了4瓶 加上以前零星買的兩瓶 累計已經買了6瓶囉 這次買的4瓶 也已經KO了兩瓶 不得不說 她真的是很好用 功效及用法都標示在外包裝了  這款是略稠的化,,正面,,其他
4,DR.WU,玻尿酸保濕精華化妝水,[ 消費贈品］  之前去寶雅買了DR. WU 的18%杏仁酸，  因為前一陣子開始進行酸類的保養，  不然我下巴閉鎖性粉刺真的越來越嚇人🙀，  而寶雅醫美的專櫃小姐同時給了我幾包DR. WU的試用  包含了這個「玻尿酸保濕精華化妝水」 其實寶雅有這個小瓶販售，但我手邊的化妝水太多，  再下去真的用不完,,中性,,
5,DR.WU,玻尿酸保濕精華化妝水,這次試用的是DR.WU 達爾膚玻尿酸系列  分別為 玻尿酸保濕潔顏凝露 玻尿酸保濕精華化妝水 玻尿酸保濕精華乳  因為是一整組的，所以我就放在一起寫了  (不過除了共同使用照外，只會放本項產品的照片，其餘照片會放在其專屬文裡)  首先，我是混和偏乾，有點敏感的膚質(皮膚偏薄) 但混和嗎~意思就是還是會,,中性,,
6,DR.WU,玻尿酸保濕精華化妝水,這次很開心能夠試用DR.WU 達爾膚「玻尿酸保濕精華化妝水」  包裝是深藍色的瓶裝+銀色瓶蓋 看起來非常有質感  精華化妝水沒有什麼味道 也沒有含酒精、不刺鼻 我很喜歡💕  質地是有點濃稠精華露的液體按摩在臉上前面幾下覺得比較像玻尿酸精華的那種感覺，後面幾下就化成水狀 ； 但是不是立即就可以按摩至吸收,,正面,吸收差,"包裝質感, 無香精, 輕盈好吸收"
7,DR.WU,玻尿酸保濕精華化妝水,很開心能獲得DR.WU 達爾膚的「玻尿酸保溼系列」的產品組合使用體驗的機會!! 感謝 💓 1.DR.WU玻尿酸保濕潔顏凝露 ☑2.DR.WU玻尿酸保濕精華化妝水(150ml) 3.DR.WU玻尿酸保濕精華乳    【─我的膚況─】：  混合肌(T字部位天氣熱易出油、兩頰偏乾)，季節變換有時會變敏感肌。,,非評論,,
8,DR.WU,玻尿酸保濕精華化妝水,首先非常感謝@COSME與DR.WU給予這次商品的試用機會🎉 本身對於DR.WU品牌就非常有好感，醫美品牌讓人比較安心以外， 稍微有敏感性膚質的我，使用DR.WU家的產品，完全沒有產生任何不適過， 所以每次逛寶雅都會習慣去看看有什麼新商品☺️  這次試用的是三樣產品，都是正容量，非常的大方呢！🎁 DR,,正面,,溫和不刺激
9,DR.WU,玻尿酸保濕精華化妝水,在DR.WU家，精華露就是化妝水 而玻尿酸保濕精華露，我只能說超！好！用！  雖然看似是屬濃稠的質地，但推勻開來後質地就化成水了 而且吸收很快，是有吸收到肌膚裡唷 然後我除了會把精華露當化妝水拍到吸收外 也會做全臉濕敷唷，濕敷效果超棒的 基本上如果是全臉拍打至吸收的話((輕拍就可以了，不用到用打的 臉,,正面,,輕盈好吸收
10,DR.WU,玻尿酸保濕精華化妝水,先說說本身膚況：混合肌，夏天偏油、T字部位易出油，冬天則偏乾。 久聞DR.WU家的玻尿酸保濕效果極好，這次在冬天寒冷時購入這瓶保濕精華化妝水，剛好可以跟已經愛用一段時間的肌研極潤金瓶化妝水做比較。 DR.WU和肌研金瓶一樣，都是主打玻尿酸保濕，但金瓶的化妝水倒出來時比較「乾淨俐落」，倒在手指上濃稠度剛,,中性,,
