post_id,brand,title,content,created_at,sentiment,pain_points,highlights
1,nomel,(品牌全品項),.商品資訊： ★找出剔透肌膚的油水比例，解鎖發光亮顏肌。 ★聰明．油水平衡精華露，從根本問題調理肌膚，補水調油，內外兼修。 ★透過多樣的高山植物萃取，強化肌膚的適應力。即使外在依舊險峻，肌膚依舊盈刃有餘。  2.容量：正品30ml/試用品1.5ml  3.產地：台灣  4.包裝設計：正品為透明玻璃瓶(看完整內容),,非評論,,
2,nomel,(品牌全品項),.商品資訊： ★nomel選用近似肌膚皮脂的保濕配方，重新架構肌膚飽水屏蔽。 ★飽水精華幫助解決肌膚對環境適應力不足、乾癢等問題，是一支能有效健全肌膚屏障的精華液。  2.容量：正品30ml/試用品1.5ml  3.產地：台灣  4.包裝設計：正品為白色玻璃瓶+滴管式設計。5.用途：滋潤乾燥不適的肌(看完整內容),,非評論,,
3,nomel,(品牌全品項),.商品資訊： ★當肌膚每天圍繞在壓力大的環境下，就會看起來疲憊、黯淡無光氣色差。 ★活力．淨白透光精華液能夠幫你對付這個問題，豐富的維生素C衍生物搭配亮白明星成分幫你恢復肌膚健康及原有的勻稱亮麗膚色。 ★溫和輕透不刺激的使用感受，保護你的肌膚遠離生活環境的各種壓力！  2.容量：正品30ml/試用品(看完整內容),,非評論,,
4,nomel,(品牌全品項),.商品資訊： ★為了幫助後續保養品有效吸收而研發的前導液，含有高效保濕分子，有助於打開毛孔達到滲透調理。 ★清爽好吸收的質地，不會造成肌膚油膩與負擔。  2.容量：正品120ml/試用品2ml  3.產地：台灣  4.包裝設計：正品為透明瓶身+按壓式設計。 5.用途：有效調理及滋潤皮膚、打開毛孔通道(看完整內容),,非評論,,
5,nomel,(品牌全品項),從 Dcard 上認識到這個台灣的小眾保養品牌，我很喜歡品牌的理念：主打純素、無動物實驗，也沒有添加太多化學成分，很安心。以前很少接觸油保養，水精華劑型質地很特別，介於油跟化妝水之間。在換季或雷射術後膚況脆弱時，我會拿來做打底，小分子吸收很快，大概幾秒鐘，油就在臉上吸收進去了，不會像其他油保養浮一層油(看完整內容),,正面,,輕盈好吸收
6,nomel,(品牌全品項),購入品nomel 明星商品 真誠·雙重煥顏油～～ 適合夏季調理皮脂、冬天補水  我的膚況：外油內乾，混合肌膚以油水 7：3 的比例， 以親膚的油類成分，打破油類會堵塞毛孔、形成老廢角質的刻板印象。 給予肌膚最不繁瑣、深入底層的營養。  使用它，不會嚷肌膚更上一層樓。 但是能夠讓肌膚保持保濕、穩定、透亮。 早(看完整內容),,正面,,"保濕有感, 輕盈好吸收"
7,nomel,(品牌全品項),第一次知道nomel這個品牌 品牌講求純淨、全素、天然 是MIT保養品  本人膚質為混合性 夏天偏油，冬天偏乾  真誠 • 雙重煥顏油 一點都不油！！ 非常非常的清爽 有很好的保濕度 吸收快、沒有油膩感 溫和不刺激 針對亞洲氣候設計的油水雙重清爽配方 能充分保濕又無油感 從照片可以看出來質地非常的水(看完整內容),,正面,,"輕盈好吸收, 保濕有感, 溫和不刺激"
8,nomel,(品牌全品項),我是透過狄卡的活動認識這家品牌，很喜歡她們家無動物實驗的理念！  之前有用過油類保養，但真的不太習慣臉油滑的觸感，最受不了的是手上的油洗不掉，像是把還沒乳化的卸妝油倒在臉上的感覺。  這次會想體驗nomel「真誠・雙重煥顏油」，也是看到她主打破除油保養黏膩的印象，所以非常好奇會是什麼感覺。  它的外(看完整內容),,中性,質地黏膩,
9,nomel,(品牌全品項),大家好！我是莉菈❤這次我要分享的是 nomel—活力.淨白透光精華液 謝謝@cosme 2023網友交流會提供的禮物✨ 真的會被自己笑死，我心得居然發錯地方啦😂 快速來補上心得哈哈哈，好像很久沒在這做蠢事了 剛剛有發現的人Sorry💦見笑了 直接先來介紹這篇主角的心得吧(⁎˃ᴗ˂⁎)  nomel我之(看完整內容),,非評論,,
10,nomel,(品牌全品項),"(淺層體驗)這四款分別是淨白、保濕、前導、油水平衡粉色前導液： 前導用起來有點像化妝水，水狀帶點潤度 用完的感受是還算清爽，不黏膩 擦完前導後我照著介紹直接擦上精華和乳液 沒有特別感覺好吸收或怎樣，隔天肌膚很正常沒亂長痘 但不適合妝前保養,會卡粉卡的很嚴重(看完整內容)",,中性,不適合妝前保養;會卡粉,輕盈好吸收
11,nomel,(品牌全品項),購入品難得用到一瓶油是清爽的而且不會長痘痘 !!!!  本身是敏感偏乾肌，特別冬天很需要用油，但太厚重又會長粉刺痘痘 但這瓶除了有水去平衡清爽外，擦完還很貼妝 ~~~ 還可以創造那種薄透發光的臉 !!! 我都是每天早上的最後一層是煥顏油，然後才上妝 !(看完整內容),,正面,,"輕盈好吸收,溫和不刺激,無香精,使用儀式感佳"
12,nomel,(品牌全品項),(淺層體驗)綠色油水平衡： 含七種天然植物複合植萃，抗痘、平衡肌膚油脂分泌，緊緻毛孔…等nomel這次提供的四包精華都是屬於沒有添加香味 害怕保養品添加香味的人可以試試 綠色的油水平衡精華用起來也蠻水潤 擦後吸收快、有保濕、不黏，沒有因為是控油而讓肌膚過於收乾 使用後的感受也不錯，可惜短時間試用還體驗不出它所說的(看完整內容),,正面,,"輕盈好吸收, 保濕有感, 無香精"
13,nomel,(品牌全品項),(淺層體驗)這四款分別是淨白、保濕、前導、油水平衡藍色款保濕精華： 乳白色流動性高，用起來比較濕潤，吸收速度也不錯 沒有特別滋潤，但是肌膚當下有保濕的感覺，最喜歡這款(看完整內容),,正面,,"輕盈好吸收, 保濕有感"
14,nomel,(品牌全品項),這款精華露也是@cosme網友見面會拿到的試用包！（非常感謝🙏 它的質地是透明水狀（一點稠度都沒有的那種，用起來感覺會很清爽，上臉吸收的速度很快，挺適合油肌的人在夏天使用，不過我剛好是在冬天用到這包….那保濕度真的就不太夠乾冷的天氣用了…用完的當下臉吸收後是沒有太明顯的差別，但過一陣子就會感覺到臉偏乾(看完整內容),,中性,保濕度不夠,輕盈好吸收
15,nomel,(品牌全品項),這款前導液我是搭配同系列的精華一起做使用，質地的部分是透明水狀，有淡淡的玻尿酸味（這味道有點難形容😅）試用的時候是在冬天，在臉上很快就吸收進皮膚，但或許真的太乾冷了，覺得保濕力的部分稍嫌不足…建議放在夏天使用！(看完整內容),,中性,保濕力不足,輕盈好吸收
16,nomel,(品牌全品項),這款產品質地的部分是透明帶黃片水狀的精華，在臉上也很容易抹開又不會有黏膩感，吸收速度也還不錯，看產品介紹內含維他命c，保濕度及美白這塊目前1.5ml試用包使用兩次還沒有太大的感覺…😅算是表現得中規中矩！(看完整內容),,中性,,輕盈好吸收
17,nomel,(品牌全品項),(淺層體驗)這四款分別是淨白、保濕、前導、油水平衡黃色淨白透光精華： 精華也是淡淡的黃色，有淡淡的黑糖味？ 上臉吸收後膚觸摸起來有點卡卡澀澀的 使用的這幾天剛好天氣涼爽，但使用後會有點黏(看完整內容),,負面,質地黏膩;吸收差,
18,nomel,(品牌全品項),購入品這次想分享的是nomel的卸妝乳 nomel的品牌形象及廣告宣傳都很打動我心☺  我買此卸妝乳的目的是想要卸除平日淡妝 我的淡妝:防曬+粉餅 如果是我這種淡妝此卸妝乳是可以卸乾淨的 但完整全妝包含眼線、唇彩等是無法卸除乾淨 我有做了一個小實測 大家看圖即可 我應該不用多說～無香、不致粉刺用起來很溫和(看完整內容),,中性,效果無感;無法卸除完整全妝,無香;溫和不刺激
19,nomel,(品牌全品項),這次使用的是這系列的保水精華，質地的部分白色乳狀，上在臉上很好推開也不會黏膩，但保濕度的部分在冬天個人覺得不太夠力，可能比較適合夏天的時候使用！(看完整內容),,中性,效果無感,輕盈好吸收
20,nomel,(品牌全品項),(淺層體驗)1.5ml試用包，褐黃色液體，微稠但抹開吸收很快。帶有鹹鹹火腿味，含維C的產品我聞起來都是這種味道～我是混油肌：在夏天我還是比較喜歡偏液狀的膚感；這款比較推薦給中性肌或是乾肌！在臉上會有微微存在感不會發熱發癢，當作夏天的早C保養還是可以試試～(看完整內容),,中性,,輕盈好吸收
21,nomel,(品牌全品項),(淺層體驗)2ml試用包，透明微黏液體，像是比較稠的化妝水，無香味。我是混油肌：上臉會有黏滑感，吸收後是清爽保濕的潤感，只是吸收不快，在夏天完全可以一罐搞定；就一次體驗下來算是有不錯的印象，會想再試試看～比較推薦給中性到油肌～(看完整內容),,正面,,"輕盈好吸收, 保濕有感"
22,nomel,(品牌全品項),(淺層體驗)1.5ml試用包，白色乳液狀，抹開偏水吸收快，無香味。我是混油肌：在現在又濕又悶的夏天，作為簡單的保濕保養還算是可以的，在冷氣房裡也還算是夠力又不會很油膩。 意外發現這系列試用包用下來都不雷但也沒太驚豔，可能主要客群不一樣，比較適合年輕肌膚使用。 後來查了下品牌資訊，原來是主打純淨、全素、友善動物的保(看完整內容),,中性,,輕盈好吸收
23,nomel,(品牌全品項),(淺層體驗)1.5ml試用包，透明稠狀液體，延展性好很滑不黏，無香味。我是混油肌：這款上臉存在感比較強，稍微吸收後臉上會有滑滑的保濕感微悶，在夏天我自己用不太住，對我太厚重了。但拿來擦脖子倒是很舒服。 比較推薦給乾肌～(看完整內容),,中性,質地黏膩;價格偏高,輕盈好吸收;保濕有感
24,nomel,(品牌全品項),hr．飽水精華  🔍複合式胺基酸（Complex Amino Acids）- 小分子保濕成份，親膚易滲透，迅速補充肌膚表面流失的天然保濕因子（NMF）。恢復肌膚補水力，緩解乾荒情況。 🔍仿生神經醯胺（Ceramide Complex）- 含有近似肌膚天然皮脂的三種神經醯胺、膽固醇，精準模擬皮脂比(看完整內容),,非評論,,
25,nomel,(品牌全品項),活力．淨白透光精華  🔍維生素C醣苷（AA2G） 將維他命C與葡萄糖分子結合，達到溫和的pH值且更加穩定；水解特性使她能輕易被肌膚吸收，更加深入肌膚深層。提亮肌膚暗沉情況，改善膚色不均！ 🔍傳明酸 （Tranexamic Acid） 預防類亮白成份，能安撫肌膚的不適，進而從根本抑制黑色素的形成，預防(看完整內容),,非評論,,
26,nomel,(品牌全品項),聰明．油水平衡精華  🔍維他命B3 – 又稱作菸鹼素或菸鹼醯胺，提昇肌膚對外界高壓的調適性，幫助肌膚油脂與水分的平衡，將肌膚停在恰好的潤澤度，毛孔油田乖乖不噴發。  🔍感光素401 – 法定核可抗菌抗痘成份，親膚溫和，低濃度即可減少痘痘粉刺，營造出不易形成面皰的環境。從根本減輕問題肌的困擾，沒有光敏感(看完整內容),,非評論,,
27,nomel,(品牌全品項),輕鬆 能量前導液  👉添加多種具有保溼效果的活性成份 （胺基酸、神經醯胺）有效調理肌膚。 👉低離子溶液劑型有助於提昇肌膚吸收效率！ 👉適合亞洲氣候的輕盈質地，多效合一調理及呵護肌膚，可取代傳統的化妝水作為肌膚調理第一步。  🔍乳酸菌發酵萃取（Ferment Filtrate）- 乳酸菌發酵產物，蘊含(看完整內容),,非評論,,
