post_id,brand,title,content,created_at
1,簡單JANDAN,(品牌全品項),購入品已經觀望簡單的保養品好久了 每次看到大家的分享都好燒～～ 上個月趁準備母親節禮物，順便買了一罐高效賦活精萃給自己😆  登愣！簡單的「高效賦活精萃」！ 外觀本身就很有質感，完全我的菜✨ 成分也大多是頂規配方 像是「荷荷芭油」能自然鎖水、「辣木籽油」能撫平細紋 還有「蘆薈油」能幫助舒緩與保濕、「海藻萃取」(看完整內容),
2,簡單JANDAN,(品牌全品項),購入品本來我就是簡單的愛用者，最近看到他們新出了醫美術後可以用的面膜，剛好有在定期打皮秒，所以決定買來用用看。  官網寫是專為醫美術後打造，主打積雪草外泌體，油肌、敏弱肌、純素者都能安心使用。裡面精華很多，質地是濃潤透明精華液，味道沒刺鼻感。 🎭 面膜紙 & 精華質地 面膜紙偏濕潤滑順，貼合度很好，(看完整內容),
3,簡單JANDAN,(品牌全品項),"購入品我因為玫瑰青春露的關係對簡單很有好感 因為我很常會有粉刺&痘疤的問題 但是皮膚又不適合酸類或太強效的成分會導致敏感 所以一直再找尋溫和但又可以淡痘疤的產品  這瓶簡單的淡斑精華 我在網路上一直找不到太多評價 所以就決定趁MOMO打折購入 那時候搭配優惠券購入的價格是$1,307 比起原價好入手(看完整內容)",
4,簡單JANDAN,(品牌全品項),購入品之前冬天還有換季的時候，皮膚都會乾到脫皮 尤其嘴邊一圈好像吃東西掉屑沒擦嘴一樣🤣 忍不住手癢去剝皮屑就會看到有些泛紅😱 現在夏天若沒認真保濕，油水不平衡也不行 所以想找可以加強保濕和修護功能的保養品  在做功課時，看到社群上滿多網友都推薦的保濕修護水乳霜，就決定買來試試看  有的乳霜產品，塗抹不順手不(看完整內容),
5,簡單JANDAN,(品牌全品項),我真的很喜歡品牌出這種小的旅行組 無論是想要體驗 還是 旅行攜帶都很方便  這次分享的是簡單的高效賦活精萃～ 一直以來都很喜歡簡單的青春露 所以也對其他系列很有興趣～  秋冬也很需要油類保養 我從momo買了5ml的小容量  📌香味： 簡單招牌的淡淡玫瑰香 我很喜歡！  📌質地： 流動性很高的輕油感(看完整內容),
6,簡單JANDAN,(品牌全品項),購入品我會買這款是因為這款因為效期比較差 所以有打折 本來就預期它會是一個無功無過的保濕面膜 實際上也跟我的想像沒有太大的出入  香味就是簡單家招牌的花香 不會過濃 是一個蠻舒服的味道  精華液的量算多 面膜就算敷了15分鐘也不會乾 我還會把裡面的精華液倒出來加強在臉頰處  敷完之後我都會習慣用清水洗一遍(看完整內容),
7,簡單JANDAN,(品牌全品項),購入品要說最喜歡的化妝水之一就是簡單的玫瑰青春露🌹  當初會知道簡單這個品牌 是因為時間的女兒介紹的 因為聽太多遍所以被燒到就入手了 結果一用成主顧 😂  玫瑰青春露的瓶身設計很簡單 是按壓瓶 非常的好取用 每次我都會擠約2-3下的量  它的味道是有質感 很舒服的玫瑰味 不是那種過濃的香精感 而且它真的吸收(看完整內容),
8,簡單JANDAN,(品牌全品項),購入品會買這款六胜肽緊緻面膜 完全是因為時間的女兒介紹的太讓人心動了🤣🤣🤣  實際上敷了五片之後 可能是因為我沒有很密集的使用 所以針對緊緻是沒什麼感覺  但敷的感覺很好 很舒服 精華液很多 敷了15分鐘也不乾 可以倒出來擦在脖子上  我很喜歡面膜本身散發淡淡的玫瑰香氣 感覺很像是把玫瑰青春露拿來敷 保濕效(看完整內容),
9,簡單JANDAN,(品牌全品項),購入品這一款化妝水是被youtuber 業配升火購入的，我的腦波有夠弱。。。。。 如圖所見，有兩種不同的容量，還有隨身瓶，其實一開始使用的時候，我以為我又踩雷了，根本平平無奇，就是一瓶有玫瑰味道的化妝水，也不能控油，保濕也一般，怪我自己為什麼要相信業配啊… 結果，用了三分之一就被我丟入冷宮了。 然後某一天，(看完整內容),
10,簡單JANDAN,(品牌全品項),購入品簡單是台灣品牌，整體產品用料都很單純，而且都是非常溫和低敏的 胺基酸洗顏霜真的很好用!  我都是在官網買的 (現在西門誠品也有實體門市了)  胺基酸洗顏霜基底是簡單的明星品玫瑰青春露，所以洗臉時還帶有淡淡高級的玫瑰香 (*官網說明都是珍貴的大馬士革玫瑰精油，不是香精唷! 所以味道是很舒服的不會有化學人(看完整內容),
