post_id,brand,title,content,created_at
1,menomeno,(品牌全品項),Sabrina芸・普通性肌膚・40歲・718 篇心得5參加@cosme2023網友交流大會的伴手禮🎉🎉🎉感謝@cosme的用心舉辦活動，也感謝m̄enom̄eno，我才有機會體驗Al 3in1 省時精萃🤗裡面還附了一張產品相關資訊無香味，其實就只有淡淡地原物料味道，流動性低，好推勻，吸收速度也快，但可以擦完整張臉洗臉後，還沒擦任何保養品前吸收後，摸皮膚表(看完整內容),
2,menomeno,(品牌全品項),Rhiannon・混合性肌膚・36歲・279 篇心得6登愣！  人生收到的第一個公關品，  是我曾經用過，並且很喜歡的，  menomeno新品卸妝水，  Mr 極淨卸妝水🎉🎉🎉  這真是大大的驚喜！大大的肯定！我太太太開心了！  必須要好好記錄一下😁😁😁  來看看卸妝水本尊  雖說是公關品，  但如同menomeno其它的產品一樣，  新推出的這款Mr(看完整內容),
3,menomeno,(品牌全品項),Rhiannon・混合性肌膚・35歲・279 篇心得6維他命C本來就是一個，無論是內服還是外用，都非常好的一個成份～ 而維他命C用在肌膚保養，也早已行之有年！ 只不過可能是因為最近的「早C晚A」肌膚保養風潮， 維他命C這個成份，又重新被大家重視！ 最近用到一款讓我非常驚豔的， 含有高濃度15%的維他命C美白精華液推薦， Es強化淨白精華。維他命C本身就是(看完整內容),
4,menomeno,(品牌全品項),Rhiannon・混合性肌膚・35歲・279 篇心得5其實以前的我是更加重視夜間的保養～ 有時候白天，我甚至是只用清水洗臉！ 主要是我本身很容易流汗，而且又是容易出油的混合肌， 雖然晚上的保養，我喜歡用稍微滋潤一點的， 但是白天，我還是偏好清爽的膚觸！ 然後，簡單一點，不要太複雜花太多時間的！ 所以就算是因為要上妝，我白天的肌膚保養步驟最多就是： 洗臉→(看完整內容),
5,menomeno,(品牌全品項),Rere_・混合性肌膚・33歲・204 篇心得6購入品這是我相隔一年之後再度回歸meno~ 這次會買這款是因為我最近額頭真的長太多小顆粒了!!!!!  之前都用be的亮安瓶 但可能是太溫和 所以都沒有改善 然後顆粒還越來越多  後來看到meno這款酸酸精華是有果酸+水楊酸 詳細如下： ▪︎ 含 11% 果酸與 0.18% 水楊酸，黃金比例溫和代謝角質 ▪(看完整內容),
6,menomeno,(品牌全品項),"Lilinpolly・混合性肌膚・37歲・1,243 篇心得5很美的包裝，不說好不好用，先給它加分😂  之前參加@cosme活動拿到的，有夠文青的啦！  是「m̄enom̄eno」這個品牌，  除了拿到洗顏產品、精華試用外，  還有這款包裝顏值很高的「Fm全能修護面膜」「m̄enom̄eno」是台灣自創品牌，  我喜歡它的命名的，義大利原文就是刪除掉不必要的(看完整內容)",
7,menomeno,(品牌全品項),Rhiannon・混合性肌膚・35歲・279 篇心得5繼續上一篇的心得， Fc溫和潔面露使用心得在這邊 臉部清潔之後，儘快擦上滲透性很好，能作為前導醒膚，提升後續保養品吸收的， Tn效能前導化妝水。  透明帶點稠度的液態質地， 我習慣直接倒在臉上擦拭。 想要搭配化妝棉使用，或者濕敷補水加強也都可以😉 液態狀質地擦在臉上感覺很順滑， 稍加畫圈按摩即可吸收，(看完整內容),
8,menomeno,(品牌全品項),Rere_・混合性肌膚・31歲・204 篇心得4購入品夏天陽光太強所以防曬的用量很大 很喜歡趁機會嘗試各種防曬 menomeno是我很喜歡的保養品牌 看到他們出了新款防曬 號稱無矽靈 海洋友善 不致粉刺  這幾點都戳中我 就決定趁剛上市有一罐即免運的機會入手  容量30mL售價是$780 不算便宜的售價 我因為有會員打九折加上購物金折抵 所以入手的價格是(看完整內容),
9,menomeno,(品牌全品項),Rere_・混合性肌膚・31歲・204 篇心得6購入品Menomeno除了A醇乳液之外我都用過😂 這罐也是看到他們出了乳液特別買的 已經使用到第二罐了！  價格不算特別貴 包裝是非常塑膠感的設計 但也很輕 雖然有點大 但出去也蠻好攜帶的 不怕被擠到露出來  它的質地是白色乳狀比較紮實的感覺 沒有任何的味道  推開之後蠻好吸收的 在臉上推開也不會不舒服(看完整內容),
10,menomeno,(品牌全品項),Rere_・混合性肌膚・31歲・204 篇心得4購入品Menomeno的面膜  我用了大概10片～  Menomeno這個牌子很天然 基本上都是無香精 無酒精 無添加  什麼時候都可以使用～ 也不太挑膚質  首先我非常喜歡它的包裝 很簡約文青 而且很清楚就能看到面膜的位置 撕的時候很方便～  我也很喜歡它的精華液敷上臉的時候不會亂滴 而且面膜的服貼度蠻好(看完整內容),
